,ACT,COM,Labor,Capital,HH,ENT,Govt,Itax,Ttax,Dtax,CapAcct,ROW,Total
ACT,,17248.54087,,,,,,,,,,,17248.54087
COM,11484.27502,2697.602342,,,3305.826933,,635.9986239,,,,1458.049288,3886.566,23468.31821
Labor,1786.334,,,,,,,,,,,,1786.334
Capital,2647.381,,,,,,,,,,,,2647.381
HH,,,1786.334,1572.758462,,375.7297029,84.59785851,,,,,67.59563776,3887.015661
ENT,,,,759.9293698,27.10049055,,50.59316739,,,,,,837.6230278
Govt,,,,80.02820797,33.03150886,6.861052667,,1330.550919,301.7835668,433.9217984,,54.63544009,2240.812494
Itax,1330.550919,,,,,,,,,,,,1330.550919
Ttax,,301.7835668,,,,,,,,,,,301.7835668
Dtax,,,,,117.7893611,316.1324373,,,,,,,433.9217984
CapAcct,,,,7.70E-07,388.9692873,138.8998349,1197.571183,,,,,,1725.440306
ROW,,3220.391328,,234.6649591,14.29811284,,272.0516611,,,,267.3910168,,4008.797078
Total,17248.54094,23468.31811,1786.334,2647.381,3887.015694,837.6230278,2240.812494,1330.550919,301.7835668,433.9217984,1725.440305,4008.797078,59916.51893
