Scenario,year,variable,sector,qualifier,type,value
"Base","2005","xp","APerAg","","S1",1.092278496
"Base","2005","xp","ANPAg","","S1",0.476359425
"Base","2005","xp","AFoodProc","","S1",0.796380192
"Base","2005","xp","AOthMfg","","S1",1.914507457
"Base","2005","xp","AMinUtlCon","","S1",0.523366544
"Base","2005","xp","ARoadTr","","S1",0.655979067
"Base","2005","xp","AOtherTr","","S1",0.397984944
"Base","2005","xp","ACommServ","","S1",1.727380970
"Base","2005","xp","AOthPrSrv","","S1",0.415782625
"Base","2005","xp","APubServ","","S1",0.623223201
"Base","2005","pp","APerAg","","S2",1.067634520
"Base","2005","pp","ANPAg","","S2",1.024435494
"Base","2005","pp","AFoodProc","","S2",0.997370865
"Base","2005","pp","AOthMfg","","S2",0.979199719
"Base","2005","pp","AMinUtlCon","","S2",0.744442327
"Base","2005","pp","ARoadTr","","S2",0.779320670
"Base","2005","pp","AOtherTr","","S2",0.843040425
"Base","2005","pp","ACommServ","","S2",0.686510537
"Base","2005","pp","AOthPrSrv","","S2",1.093079073
"Base","2005","pp","APubServ","","S2",0.558248182
"Base","2005","x","CPerAg","","S1",1.092278496
"Base","2005","x","CNPAg","","S1",0.476359425
"Base","2005","x","CFoodProc","","S1",0.796380192
"Base","2005","x","COthMfg","","S1",1.914507457
"Base","2005","x","CMinUtlCon","","S1",0.523366544
"Base","2005","x","CRoadTr","","S1",0.655979067
"Base","2005","x","COtherTr","","S1",0.397984944
"Base","2005","x","CCommServ","","S1",1.727380970
"Base","2005","x","COthPrSrv","","S1",0.415782625
"Base","2005","x","CPubServ","","S1",0.623223201
"Base","2005","xac","H-LF1","CPerAg","H1",0.005104751
"Base","2005","xac","H-LF1","CNPAg","H1",0.000036637
"Base","2005","xac","H-LF1","CFoodProc","H1",0.004155691
"Base","2005","xac","H-LF1","COthMfg","H1",0.003028151
"Base","2005","xac","H-LF1","CMinUtlCon","H1",0.000189032
"Base","2005","xac","H-LF1","CRoadTr","H1",0.003195735
"Base","2005","xac","H-LF1","COtherTr","H1",0.000534904
"Base","2005","xac","H-LF1","CCommServ","H1",0.004301436
"Base","2005","xac","H-LF1","COthPrSrv","H1",0.001796809
"Base","2005","xac","H-LF1","CPubServ","H1",0.000826994
"Base","2005","xac","H-LF2","CPerAg","H1",0.025452725
"Base","2005","xac","H-LF2","CNPAg","H1",0.000199169
"Base","2005","xac","H-LF2","CFoodProc","H1",0.013386595
"Base","2005","xac","H-LF2","COthMfg","H1",0.019488390
"Base","2005","xac","H-LF2","CMinUtlCon","H1",0.001089162
"Base","2005","xac","H-LF2","CRoadTr","H1",0.017701960
"Base","2005","xac","H-LF2","COtherTr","H1",0.002993000
"Base","2005","xac","H-LF2","CCommServ","H1",0.023511603
"Base","2005","xac","H-LF2","COthPrSrv","H1",0.010699248
"Base","2005","xac","H-LF2","CPubServ","H1",0.004410242
"Base","2005","xac","H-LF3","CPerAg","H1",0.002310504
"Base","2005","xac","H-LF3","CNPAg","H1",0.000019277
"Base","2005","xac","H-LF3","CFoodProc","H1",0.002145312
"Base","2005","xac","H-LF3","COthMfg","H1",0.002255479
"Base","2005","xac","H-LF3","CMinUtlCon","H1",0.000125234
"Base","2005","xac","H-LF3","CRoadTr","H1",0.001797722
"Base","2005","xac","H-LF3","COtherTr","H1",0.000302437
"Base","2005","xac","H-LF3","CCommServ","H1",0.002415139
"Base","2005","xac","H-LF3","COthPrSrv","H1",0.001122642
"Base","2005","xac","H-LF3","CPubServ","H1",0.000467911
"Base","2005","xac","H-MF1","CPerAg","H1",0.012498236
"Base","2005","xac","H-MF1","CNPAg","H1",0.000089932
"Base","2005","xac","H-MF1","CFoodProc","H1",0.010104385
"Base","2005","xac","H-MF1","COthMfg","H1",0.007363161
