,A-Crops,A-Livestock,A-Forestry,A-Fishery,A-Mining,A-FoodProc,A-BevTobac,A-Textile,A-PapProd,A-Chemical,A-PetRef,A-RubPlast,A-NMetMin,A-BasMet,A-MetProd,A-MachProd,A-OthMfg,A-Utility,A-Const,A-Trade,A-RestHot,A-TransComm,A-Finance,A-RealEst,A-Services,A-UnClass,C-Crops,C-Livestock,C-Forestry,C-Fishery,C-Mining,C-FoodProc,C-BevTobac,C-Textile,C-PapProd,C-Chemical,C-PetRef,C-RubPlast,C-NMetMin,C-BasMet,C-MetProd,C-MachProd,C-OthMfg,C-Utility,C-Const,C-Trade,C-RestHot,C-TransComm,C-Finance,C-RealEst,C-Services,C-UnClass,M-Crops,M-Livestock,M-Forestry,M-Fishery,M-Mining,M-FoodProc,M-BevTobac,M-Textile,M-PapProd,M-Chemical,M-PetRef,M-RubPlast,M-NMetMin,M-BasMet,M-MetProd,M-MachProd,M-OthMfg,M-Utility,M-Const,M-Trade,M-RestHot,M-TransComm,M-Finance,M-RealEst,M-Services,M-UnClass,Labor,Capital,Water,Land,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,ENT,Govt,Margin,Itax,Ttax,Dtax,CapAcct,ROW
A-Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,710.1767023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2336412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Forestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90077365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5605125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.5102345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-FoodProc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.771511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-BevTobac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.8553363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Textile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.927764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-PapProd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.5438894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.5181765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-PetRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.9626754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
