table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           2.963E+00     2.300E-02     7.930E-03     6.609E-02     3.699E-03     1.894E-02     1.447E-02     4.514E-03     8.734E-02     2.073E-01     3.207E-01     7.944E-02     7.452E-03     7.721E-02     1.792E-11     7.617E-03     5.090E-04     1.431E-05     2.455E-02     2.915E-03     6.379E-03     1.232E-01     2.272E+00     6.396E-01     2.206E-01     5.701E-01     1.138E-02     3.600E-08     7.226E-02     1.000E-09     6.700E-08     8.454E-06     1.189E-05     8.500E-08     1.000E-09     1.446E-19     5.000E-09     3.329E-10     8.000E-09     2.000E-09     4.000E-09     3.501E-05     5.810E-07     2.560E-07     2.500E-07     1.093E-01     1.047E-01     4.390E-07     1.100E-08     8.200E-08     2.000E-08     9.000E-09     1.200E-08     2.627E-02     6.136E-02     2.446E-01     6.900E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.379E+00
wht           1.235E-04     2.212E+02     3.471E-03     2.853E-02     1.627E-03     8.194E-03     8.664E-03     2.109E-03     3.933E+00     8.925E+00     1.498E+01     3.787E+00     5.456E-03     4.792E-02     1.591E-11     5.576E-03     3.719E-04     1.048E-05     5.973E-02     7.051E-03     1.510E-02     3.006E-01     2.144E-03     1.561E+00     1.061E+02     1.063E+02     2.337E-02     4.600E-08     5.227E-02     1.400E-08     8.800E-08     3.197E-05     6.056E-05     4.440E-07     4.000E-09     6.819E-19     8.000E-09     1.551E-10     1.700E-08     1.300E-08     3.500E-08     3.850E-07     5.940E-07     6.100E-07     3.450E-07     8.006E-02     7.245E-02     2.244E-06     9.400E-08     2.520E-07     3.100E-08     1.100E-08     7.000E-09     1.924E-02     4.490E-02     1.738E-01     1.025E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.131E+02     0.000E+00     4.568E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.290E+02
gro           5.682E-04     4.614E-02     3.087E+00     1.391E-01     7.971E-03     4.039E-02     3.117E-02     9.490E-03     3.907E-02     5.617E-02     1.307E-01     8.956E-03     1.950E-02     1.713E-01     5.121E-11     1.992E-02     1.402E-03     3.744E-05     1.308E-01     1.543E-02     3.568E-02     6.609E-01     4.606E-03     3.420E+00     2.367E+00     9.280E-01     5.370E-02     3.500E-08     1.869E-01     4.000E-08     1.300E-07     5.584E-06     1.373E-04     3.920E-07     5.000E-09     2.467E-20     2.300E-08     6.807E-10     2.300E-08     1.600E-08     5.700E-08     1.009E-06     3.102E-05     1.672E-05     2.480E-07     2.902E-01     2.593E-01     1.472E-06     1.040E-07     2.530E-06     3.900E-08     3.230E-07     4.600E-08     6.898E-02     1.607E-01     6.210E-01     2.631E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.179E+02     0.000E+00     1.720E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.481E+02
v_f           9.710E-04     7.935E-02     2.935E-02     7.480E+01     1.365E-02     6.977E-02     5.389E-02     1.636E-02     8.031E+00     1.924E+01     3.018E+01     7.715E+00     2.808E-02     2.467E-01     6.795E-11     2.894E-02     1.910E-03     5.394E-05     1.014E-01     1.197E-02     2.572E-02     5.102E-01     3.548E-03     2.644E+00     1.053E+02     2.943E+01     4.618E-02     8.200E-08     2.690E-01     1.375E-06     1.913E-06     6.584E-06     1.931E-05     5.196E-06     5.067E-06     4.207E-19     9.600E-08     2.000E-09     2.270E-07     6.000E-09     4.500E-08     4.541E-06     2.604E-06     4.180E-07     1.570E-07     4.121E-01     3.752E-01     3.458E-05     1.813E-05     7.546E-06     1.760E-07     2.030E-07     1.586E-06     9.901E-02     2.321E-01     8.958E-01     2.709E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.453E+02     1.021E+00     9.414E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.337E+03
osd           2.383E-04     1.935E-02     7.186E-03     6.083E-02     5.635E+01     1.705E-02     1.384E-02     4.018E-03     1.492E-01     1.731E-01     2.003E-01     7.271E-02     8.475E-03     7.435E-02     2.250E-11     8.689E-03     1.992E-03     1.626E-05     6.070E-02     7.161E-03     3.152E+01     3.086E-01     2.135E-03     1.592E+00     2.565E+01     3.138E-01     2.471E-02     1.030E-07     8.136E-02     8.000E-09     4.290E-07     6.177E-06     2.726E-05     6.990E-07     1.400E-08     1.136E-20     1.400E-08     2.917E-10     2.300E-08     8.000E-09     4.500E-08     5.320E-07     3.192E-05     2.537E-05     1.707E-06     1.251E-01     1.128E-01     7.250E-07     1.692E-05     7.440E-07     5.900E-08     4.000E-08     1.800E-08     2.990E-02     6.984E-02     2.703E-01     1.188E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.215E+02
c_b           4.711E-05     3.922E-03     1.422E-03     1.922E-02     6.620E-04     3.501E-03     2.627E-03     7.965E-04     7.574E-04     2.024E-03     4.118E-03     7.398E-04     1.183E-03     1.043E-02     2.622E-12     1.205E-03     8.098E-05     2.266E-06     8.901E-04     1.057E-04     3.122E-04     6.539E-03     3.254E-05     2.814E-02     1.046E-02     4.938E-03     7.279E-04     1.900E-08     1.131E-02     3.000E-09     6.900E-08     5.214E-04     3.474E-04     1.050E-06     1.700E-08     2.293E-20     5.000E-09     3.381E-10     8.000E-09     1.000E-09     3.000E-09     8.100E-08     4.914E-05     2.374E-06     1.747E-06     1.730E-02     1.573E-02     1.090E-07     1.700E-08     8.000E-09     1.300E-08     1.222E-06     3.070E-07     4.168E-03     9.708E-03     3.765E-02     7.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.354E+00
pfb           1.802E-04     1.720E-02     5.491E-03     4.529E-02     2.543E-03     1.285E-02     2.383E-02     3.120E-03     2.937E-03     7.981E-03     1.150E-02     4.497E-03     4.592E-03     4.033E-02     1.036E-11     1.556E-02     7.227E-04     8.819E-06     5.642E-03     6.747E-04     2.552E-03     2.837E-02     1.974E-04     1.472E-01     4.440E-02     2.850E-02     3.408E+00     2.692E-06     4.398E-02     3.500E-08     2.060E-07     4.680E-06     8.670E-05     2.420E-07     1.800E-08     2.830E-20     5.500E-08     5.190E-10     1.160E-07     2.700E-08     7.700E-08     2.144E-06     1.403E-04     9.501E-05     1.005E-06     6.747E-02     6.097E-02     3.450E-07     3.700E-08     4.440E-07     2.800E-08     1.030E-07     3.200E-08     1.617E-02     3.787E-02     1.463E-01     3.060E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.750E+02     0.000E+00     2.553E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.798E+02
ocr           6.818E-04     3.807E-02     1.371E-02     1.273E-01     6.164E-03     3.128E-02     2.410E-02     3.795E-01     3.597E+00     7.914E+00     1.389E+01     3.533E+00     1.508E-02     1.324E-01     3.976E-11     1.560E-02     1.039E-03     2.895E-05     1.008E-01     1.190E-02     2.582E-02     5.075E-01     3.534E-03     2.639E+00     3.121E+00     2.569E+01     4.152E-02     5.920E-07     1.445E-01     3.204E-06     7.933E-06     1.391E-04     5.127E-04     2.643E-05     1.208E-05     3.527E-18     6.940E-07     5.000E-09     9.430E-07     1.650E-07     1.120E-07     3.061E-05     2.435E-05     4.970E-05     1.555E-06     2.302E-01     2.004E-01     1.193E-05     1.332E-05     1.219E-05     2.088E-06     4.945E-06     4.145E-06     5.545E-02     1.246E-01     4.816E-01     2.050E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.684E+01     0.000E+00     2.293E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.471E+01
ctl           1.653E-03     7.375E-02     2.668E-02     2.193E-01     1.283E-02     6.331E-02     4.940E-02     1.542E-02     3.766E-02     3.862E-02     5.621E-02     1.239E-02     2.184E-02     1.919E-01     4.827E-11     2.231E-02     1.488E-03     4.194E-05     9.528E+00     2.677E-03     2.952E-03     6.400E-02     4.079E-04     3.050E-01     9.272E-02     5.926E-02     1.175E-02     1.650E-07     2.093E-01     1.900E-08     1.060E-07     7.936E-06     1.278E-05     1.851E-06     3.500E-08     3.547E-20     1.320E-07     1.000E-09     7.600E-08     7.000E-09     6.500E-08     1.379E-06     2.250E-06     5.390E-07     3.810E-07     3.206E-01     2.902E-01     1.952E-06     8.597E-06     3.460E-06     6.100E-08     7.540E-07     9.300E-08     7.717E-02     1.799E-01     6.954E-01     1.269E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.243E+01     0.000E+00     6.191E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.130E+01
oap           7.643E-04     4.872E-02     2.032E-02     1.491E-01     9.150E-03     4.172E-02     3.429E-02     1.005E-02     9.399E-03     3.679E-02     3.708E-02     8.463E-03     2.167E-02     1.908E-01     5.844E-11     2.210E-02     1.474E-03     4.157E-05     2.001E-01     1.282E+01     4.233E-02     8.557E-01     5.871E-03     4.387E+00     1.354E+00     8.530E-01     6.811E-02     2.661E-06     2.083E-01     2.200E-08     2.380E-07     1.041E-05     6.318E-05     7.810E-07     1.300E-08     5.197E-20     1.460E-07     9.212E-10     1.040E-07     8.360E-07     7.300E-08     2.954E-06     3.114E-06     7.580E-07     4.130E-07     3.177E-01     2.887E-01     8.597E-06     1.111E-06     1.310E-05     2.270E-07     9.540E-07     1.566E-06     7.672E-02     1.785E-01     6.898E-01     3.205E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.342E+02     0.000E+00     1.957E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.830E+02
