table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           3.304E+01     1.881E-01     5.908E-02     2.099E-01     3.150E-03     1.079E-03     1.822E-02     7.313E-03     5.093E+00     6.721E+00     4.996E+00     7.806E-01     5.285E-01     2.668E-01     6.990E-03     4.461E-03     9.075E-03     1.954E-02     1.048E-02     4.800E-03     8.850E-04     2.040E-02     1.772E+01     3.080E-04     1.274E-01     2.261E+00     1.880E-02     1.167E-02     1.651E-02     1.118E-02     2.776E-05     1.519E-03     1.892E-01     3.449E-02     8.665E-03     1.566E-02     1.785E-06     8.099E-10     1.404E-02     9.000E-08     2.327E-03     1.984E+00     2.665E-03     2.146E-03     9.070E-07     2.753E+00     4.815E+00     2.870E+01     1.470E+00     2.291E+00     6.078E+00     3.070E-07     6.100E-08     3.576E+00     1.722E+00     1.153E+00     4.390E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.381E+00     0.000E+00     1.033E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wht           1.079E-03     5.097E+02     8.963E-03     3.173E-02     4.740E-04     1.722E-04     7.440E-03     1.161E-03     1.297E-01     4.096E-01     2.131E-01     1.338E-02     7.797E-02     3.738E-02     1.029E-03     1.271E-03     1.103E-03     2.938E-03     3.768E-03     1.729E-03     1.804E-04     7.085E-03     3.712E-04     7.689E-05     2.235E+01     2.199E+00     2.848E-03     1.718E-03     2.426E-03     1.646E-03     6.175E-06     2.505E-04     2.824E-02     5.078E-03     1.275E-03     2.358E-03     1.630E-07     2.422E-10     2.067E-03     1.800E-07     3.448E-04     2.885E-01     3.929E-04     3.162E-04     9.850E-07     4.058E-01     6.972E-01     5.808E+00     9.328E-02     1.855E-01     2.251E-01     1.870E-07     2.200E-08     5.272E-01     2.538E-01     1.685E-01     1.700E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.069E+03     5.051E+01     2.053E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.082E+03
gro           3.122E-03     8.945E-02     1.805E+01     1.021E-01     1.559E-03     5.331E-04     9.376E-03     3.534E-03     8.450E-01     5.554E-01     9.913E-01     2.139E-02     2.574E-01     1.236E-01     3.394E-03     1.848E-04     5.495E-03     9.604E-03     2.793E-02     7.527E-03     6.010E-03     5.667E-02     2.506E-03     6.010E-04     1.288E+00     4.924E-01     9.248E-03     5.666E-03     8.011E-03     5.433E-03     1.550E-05     7.385E-04     9.275E-02     1.676E-02     4.206E-03     7.598E-03     1.660E-07     4.325E-10     6.820E-03     4.270E-07     1.135E-03     9.522E-01     1.341E-03     1.061E-03     8.600E-07     1.356E+00     2.301E+00     1.206E+01     4.249E-01     4.693E+00     1.386E+00     6.693E-06     1.580E-07     1.742E+00     8.381E-01     5.564E-01     2.010E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.840E+02     3.138E+01     1.289E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.204E+02
v_f           6.246E-03     1.821E-01     5.974E-02     6.942E+01     3.158E-03     1.096E-03     1.929E-02     7.291E-03     7.269E+01     1.073E+02     7.177E+01     1.140E+01     6.343E-01     3.046E-01     8.378E-03     3.141E-02     8.011E-04     2.370E-02     6.843E-01     3.194E-01     3.323E-02     1.301E+00     4.712E-02     1.298E-02     1.600E+01     1.044E+01     1.876E-02     1.393E-02     1.996E-02     1.353E-02     1.048E-04     1.783E-03     2.290E-01     4.158E-02     1.077E-02     1.835E-02     4.528E-06     8.000E-08     1.665E-02     5.800E-07     2.848E-03     2.377E+00     3.158E-03     2.438E-03     5.620E-07     3.356E+00     5.380E+00     3.105E+01     7.160E+00     2.845E+00     5.227E-01     5.922E-06     7.259E-06     4.298E+00     2.049E+00     1.349E+00     6.120E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.082E+03     9.731E+01     3.970E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.563E+02
osd           2.244E-03     6.467E-02     2.142E-02     7.670E-02     1.093E+01     4.026E-04     7.361E-03     2.619E-03     3.338E-01     8.778E-01     6.462E-01     9.990E-02     1.959E-01     9.397E-02     2.586E-03     3.270E-03     8.163E-03     7.262E-03     5.712E-02     2.188E-02     3.833E+01     1.293E-01     4.184E-03     1.753E-03     2.626E+00     2.317E-03     6.863E-03     4.315E-03     6.121E-03     4.135E-03     2.016E-05     5.628E-04     7.028E-02     1.277E-02     3.193E-03     5.774E-03     5.070E-07     7.338E-10     5.193E-03     1.300E-07     8.674E-04     7.331E-01     1.044E-03     8.271E-04     8.730E-06     1.027E+00     1.740E+00     1.521E+00     6.282E+00     3.023E-01     2.540E-01     1.034E-06     8.700E-08     1.326E+00     6.373E-01     4.227E-01     1.139E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.610E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.590E+01
c_b           1.308E-03     3.818E-02     1.241E-02     6.445E-02     6.610E-04     1.346E-01     3.899E-03     1.530E-03     5.469E-02     6.738E-02     7.583E-02     1.045E-02     1.110E-01     5.378E-02     1.462E-03     2.475E-05     2.260E-03     4.217E-03     1.280E-03     5.435E-04     4.137E-04     3.336E-02     1.902E-04     1.949E+00     3.446E-02     1.306E-03     3.956E-03     2.442E-03     3.454E-03     2.340E-03     7.864E-06     9.146E-04     4.309E-02     7.224E-03     1.815E-03     3.277E-03     4.940E-07     1.900E-08     2.942E-03     7.300E-08     4.874E-04     4.110E-01     6.520E-04     4.528E-04     6.091E-06     5.768E-01     9.993E-01     5.954E+00     3.639E-01     3.995E-01     1.296E+00     2.829E-05     1.386E-06     7.492E-01     3.609E-01     2.406E-01     1.700E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.820E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
pfb           7.355E-04     3.868E-02     7.553E-03     2.740E-02     3.750E-04     1.554E-04     4.358E+00     8.950E-04     2.865E-02     2.848E-02     2.513E-02     2.372E-02     1.819E-01     8.660E-02     2.404E-03     1.648E-02     1.937E-02     6.866E-03     8.186E-01     3.752E-01     8.331E-02     1.512E+00     5.447E-02     1.552E-02     1.330E+00     9.402E-04     5.899E+00     4.468E-03     6.044E-03     3.804E-03     8.944E-06     4.952E-04     7.033E-02     1.208E-02     2.693E-03     4.864E-03     2.148E-06     2.100E-08     4.623E-03     9.820E-07     8.860E-04     7.075E-01     1.692E-03     9.625E-04     3.823E-06     1.009E+00     1.271E+00     7.153E+00     1.106E+00     1.374E+00     1.012E+00     2.747E-06     1.630E-07     1.237E+00     5.657E-01     3.600E-01     5.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.399E+02     9.902E+00     4.235E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.597E+02
ocr           6.851E-03     7.716E-02     2.468E-02     1.302E-01     1.066E-03     3.731E-04     6.450E-03     1.744E-02     3.347E-01     4.576E-01     4.345E-01     5.162E-02     1.741E-01     8.454E-02     2.310E-03     5.640E-03     1.520E-03     6.779E-03     4.555E-03     2.067E-03     5.713E-04     8.791E-03     4.109E-04     1.275E-04     4.751E-01     9.960E-01     7.242E-03     3.859E-03     5.534E-03     4.157E-03     2.872E-04     6.585E-04     6.655E-02     1.153E-02     4.550E-03     5.420E-03     1.672E-05     2.940E-07     4.621E-03     5.947E-06     7.760E-04     6.435E-01     9.208E-04     7.806E-04     5.604E-06     9.501E-01     1.558E+00     8.764E+00     8.915E-01     1.297E+00     1.355E+00     1.093E-04     2.082E-05     1.202E+00     5.696E-01     3.815E-01     7.813E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.193E+02     0.000E+00     8.183E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.320E+01
ctl           3.471E-02     3.097E-01     9.986E-02     3.773E-01     5.885E-03     3.710E-03     3.254E-02     2.028E-02     1.303E+03     3.557E-01     3.164E-01     4.264E-02     8.686E-01     4.196E-01     1.148E-02     7.496E-03     1.485E-02     3.216E-02     1.052E+02     9.063E-02     3.382E-04     7.639E-02     4.219E-04     1.430E-04     1.554E-02     3.465E-03     3.129E-02     1.915E-02     3.134E-02     1.835E-02     4.562E-05     2.489E-03     3.105E-01     5.663E-02     1.423E-02     2.570E-02     4.028E-06     1.100E-08     2.305E-02     3.750E-07     3.826E-03     3.216E+00     4.377E-03     3.525E-03     1.381E-06     4.525E+00     7.790E+00     2.136E+01     1.828E+01     4.354E+00     3.161E+00     1.787E-05     4.170E-07     5.880E+00     2.831E+00     1.880E+00     2.824E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.689E+03     7.974E+01     3.241E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.087E+00
oap           7.217E-03     1.649E-01     8.362E-02     2.279E-01     5.470E-03     3.769E-03     2.150E-02     9.306E-03     1.825E-01     4.006E-01     1.623E-01     2.564E-02     4.390E-01     2.104E-01     5.790E-03     5.184E-03     6.952E-03     1.628E-02     1.695E-01     5.544E+01     1.323E-04     1.484E-02     1.477E-04     6.057E-05     2.082E-02     1.952E-03     1.823E-02     9.725E-03     1.801E-02     9.262E-03     2.735E-05     1.261E-03     1.569E-01     2.855E-02     7.179E-03     1.297E-02     2.720E-06     1.200E-08     1.163E-02     3.190E-06     1.934E-03     1.622E+00     2.211E-03     1.779E-03     1.321E-06     2.283E+00     3.933E+00     2.825E+01     1.512E+00     2.558E+00     1.313E+00     1.354E-05     7.443E-06     2.969E+00     1.430E+00     9.505E-01     1.212E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.563E+03     7.256E+01     2.968E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.463E+01
