table sam0(s0,ss0) Billions of Current USD
            	pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           2.715E-01     1.913E-03     1.810E-03     4.711E-02     5.454E-04     2.290E-04     6.714E-03     3.047E-03     3.384E-02     9.890E-02     1.304E-02     1.798E-02     2.389E-04     8.520E-04     5.499E-04     9.660E-04     1.076E-04     2.558E-05     5.401E-03     2.309E-03     7.962E-04     1.342E-02     1.060E-01     4.406E-04     8.593E-03     1.101E-02     3.166E-02     2.156E-04     1.473E-01     6.772E-13     1.990E-07     4.518E-04     1.661E-20     1.004E-03     7.814E-05     4.642E-02     1.484E-04     7.171E-05     7.974E-05     1.478E-05     1.303E-03     2.200E-08     2.748E-04     6.260E-07     3.957E-06     1.498E-05     3.039E+00     2.259E-02     5.264E-04     6.958E-03     6.408E-06     1.627E-03     1.419E-03     1.231E-03     8.945E-04     4.954E-01     1.520E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wht           5.469E-05     1.826E+01     1.054E-03     2.334E-02     3.195E-04     1.331E-04     4.672E-03     1.837E-03     4.445E+00     1.289E+01     1.780E+00     2.915E+00     6.630E-04     5.155E-04     2.471E-03     1.054E-02     1.732E-04     7.135E-05     2.521E-02     9.953E-03     4.558E-03     7.029E-02     6.234E-04     2.894E-03     2.387E+01     6.503E+00     1.195E-01     5.136E-04     3.286E-01     3.389E-13     5.220E-07     1.145E-03     3.864E-20     2.555E-03     1.959E-04     1.162E-01     1.781E-04     1.138E-05     4.167E-05     8.889E-05     3.495E-03     5.000E-09     6.871E-04     1.589E-06     1.107E-05     4.075E-05     3.862E+00     4.702E-02     2.542E-03     2.328E-02     1.674E-05     5.115E-03     2.028E-03     3.405E-03     2.479E-03     8.477E-01     6.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.357E+01     6.641E-01     8.005E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.150E-01
gro           5.246E-04     8.984E-03     3.154E-01     2.289E-01     3.066E-03     1.282E-03     3.782E-02     1.699E-02     1.068E-01     1.350E-01     4.927E-02     2.722E-02     9.566E-04     7.426E-04     1.629E-03     2.968E-03     4.330E-04     1.027E-04     4.165E-03     1.638E-03     8.773E-04     1.175E-02     8.853E-05     4.451E-04     2.399E-02     9.050E-03     6.367E-02     7.369E-04     4.736E-01     5.127E-14     7.530E-07     1.656E-03     8.578E-20     3.681E-03     3.256E-03     8.424E-02     2.575E-04     1.246E-04     1.962E-04     7.785E-05     5.050E-03     6.000E-09     1.009E-03     2.299E-06     1.559E-05     2.559E-04     5.581E+00     4.734E-02     2.341E-03     8.647E-02     2.427E-05     8.267E-03     1.274E-03     4.913E-03     3.588E-03     1.222E+00     8.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.083E+01     0.000E+00     4.642E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
v_f           1.164E-03     1.994E-02     2.293E-02     7.402E+01     6.802E-03     2.854E-03     8.409E-02     3.777E-02     9.371E+00     2.569E+01     3.582E+00     6.169E+00     2.751E-03     2.135E-03     9.455E-03     8.166E-02     3.243E-04     2.951E-04     3.618E-02     1.441E-02     6.633E-03     1.014E-01     7.688E-04     3.770E-03     1.415E+01     4.214E+00     2.659E-01     2.125E-03     1.362E+00     4.013E-12     2.166E-06     4.757E-03     4.013E-19     1.058E-02     1.719E-02     2.104E-02     7.410E-04     1.440E-03     5.168E-04     7.815E-05     1.455E-02     1.900E-08     2.852E-03     6.601E-06     4.473E-05     1.702E-04     1.604E+01     1.085E-01     2.771E-02     7.042E-02     6.971E-05     9.804E-03     3.034E-02     1.409E-02     1.039E-02     3.514E+00     3.900E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.769E+02     6.384E+00     6.596E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.192E+01
osd           1.802E-04     3.076E-03     3.539E-03     8.156E-02     5.323E+00     4.411E-04     1.355E-02     5.849E-03     4.910E-02     1.493E-01     4.194E-02     2.665E-02     3.344E-04     2.593E-04     6.474E-04     2.724E-03     1.368E-04     3.584E-05     1.747E-03     6.739E-04     4.626E+00     4.823E-03     3.625E-05     1.900E-04     2.276E-01     2.557E-03     2.355E-02     2.580E-04     1.662E-01     2.210E-14     2.640E-07     5.787E-04     2.190E-20     1.285E-03     1.570E-03     1.728E-02     9.017E-05     3.324E-05     1.225E-04     1.510E-05     1.769E-03     2.000E-09     3.777E-04     8.400E-07     5.700E-06     2.058E-05     1.958E+00     1.458E-03     6.006E-03     1.807E-03     8.506E-06     2.535E-03     1.120E-03     1.714E-03     1.255E-03     4.286E-01     6.300E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
c_b           1.480E-04     2.539E-03     2.916E-03     6.742E-02     8.651E-04     1.188E-01     1.068E-02     4.806E-03     1.993E-02     3.758E-02     8.801E-03     8.571E-03     2.706E-04     2.110E-04     1.082E-03     1.752E-03     9.718E-05     2.904E-05     1.156E-03     4.585E-04     2.154E-04     3.571E-03     2.468E-05     1.609E+00     2.112E-03     1.723E-03     1.798E-02     2.086E-04     1.340E-01     4.183E-15     2.130E-07     4.691E-04     1.804E-20     1.041E-03     1.175E-03     1.662E-02     7.287E-05     2.416E-04     1.023E-05     3.490E-06     1.427E-03     2.000E-09     3.134E-04     6.490E-07     4.692E-06     1.648E-05     1.583E+00     1.841E-02     1.243E-03     8.806E-03     6.860E-06     2.197E-03     6.276E-04     1.386E-03     1.012E-03     3.462E-01     6.204E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
pfb           2.032E-04     3.628E-03     4.010E-03     8.909E-02     1.188E-03     5.016E-04     1.932E-02     6.626E-03     2.597E-02     4.620E-02     9.243E-03     1.375E-02     3.708E-04     2.879E-04     4.323E-06     8.385E-03     1.036E-04     3.980E-05     1.600E-03     6.367E-04     3.892E-04     4.458E-03     3.367E-05     1.678E-04     2.672E-03     2.327E-03     1.825E+01     3.258E-04     1.836E-01     8.216E-14     2.920E-07     6.420E-04     2.439E-20     1.427E-03     1.555E-03     2.441E-02     9.986E-05     1.309E-04     7.499E-05     1.842E-05     1.958E-03     3.000E-09     4.772E-04     9.020E-07     6.198E-06     2.333E-05     2.164E+00     2.105E-02     1.093E-03     2.653E-02     9.411E-06     2.925E-03     1.030E-03     1.900E-03     1.388E-03     4.739E-01     4.740E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.607E+01     1.326E+00     1.337E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.970E+01
ocr           9.077E-04     1.494E-02     1.710E-02     3.847E-01     5.053E-03     2.117E-03     6.236E-02     8.121E-01     1.180E-01     2.457E-01     5.746E-02     4.446E-02     1.578E-03     1.225E-03     7.464E-03     2.031E-02     4.287E-04     1.694E-04     6.764E-03     2.685E-03     1.236E-03     1.894E-02     1.437E-04     7.133E-04     2.909E-01     6.039E+00     1.051E-01     1.223E-03     7.816E-01     9.245E-12     1.246E-06     2.733E-03     1.038E-19     6.085E-03     9.796E-03     1.429E-02     4.252E-04     8.174E-04     2.905E-04     4.776E-05     8.333E-03     1.600E-08     1.651E-03     3.795E-06     2.591E-05     5.815E-04     9.210E+00     8.507E-02     8.759E-03     7.649E-02     4.032E-05     9.360E-03     1.029E-02     8.189E-03     5.942E-03     2.017E+00     6.043E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.375E+00     0.000E+00     1.296E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.262E+01
ctl           2.859E-03     1.498E-02     1.719E-02     3.806E-01     5.245E-03     2.239E-03     6.275E-02     2.850E-02     8.665E+01     1.964E-01     3.938E-02     4.417E-02     1.583E-03     1.229E-03     9.521E-03     1.269E-02     4.656E-04     1.699E-04     1.288E+01     4.245E-03     1.207E-03     2.044E-02     1.452E-04     7.147E-04     1.158E-02     1.006E-02     1.056E-01     1.222E-03     7.841E-01     3.005E-14     1.247E-06     2.740E-03     1.039E-19     6.094E-03     7.022E-03     9.337E-02     4.266E-04     4.821E-04     3.912E-04     7.165E-05     8.359E-03     1.000E-08     1.643E-03     3.801E-06     2.580E-05     1.022E-04     9.240E+00     2.725E-02     2.252E-02     3.415E-02     4.020E-05     1.367E-02     2.133E-03     8.125E-03     5.934E-03     2.023E+00     1.210E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.195E+02     2.825E+00     2.849E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.118E+00
oap           1.123E-03     1.459E-02     2.007E-02     3.652E-01     6.230E-03     2.313E-03     6.027E-02     2.689E-02     1.046E-01     2.102E-01     3.729E-02     4.193E-02     1.503E-03     1.166E-03     1.043E-02     1.274E-02     4.000E-04     1.612E-04     9.213E-03     1.231E+01     1.129E-03     1.831E-02     1.358E-04     6.691E-04     1.107E-02     9.412E-03     1.001E-01     1.173E-03     7.440E-01     4.316E-14     1.183E-06     2.600E-03     9.853E-20     5.781E-03     4.965E-03     1.365E-01     4.045E-04     4.849E-04     3.610E-04     6.658E-05     7.931E-03     1.000E-08     1.559E-03     3.607E-06     2.448E-05     9.726E-05     8.766E+00     1.012E-01     6.100E-03     5.971E-02     3.813E-05     5.453E-03     1.640E-02     7.715E-03     5.641E-03     1.920E+00     5.000E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.747E+02     4.087E+00     4.120E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.470E+01
