table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           1.064E-06     1.083E-04     5.100E-08     2.950E-05     2.740E-06     1.600E-08     2.100E-08     2.242E-06     5.779E-03     1.155E-03     7.637E-04     2.763E-03     5.417E-06     1.722E-06     9.532E-05     1.000E-08     1.039E-12     3.530E-04     1.618E-03     2.798E-04     5.748E-05     7.544E-06     3.556E-04     9.629E-06     9.371E-03     5.637E-05     1.087E-05     5.360E-07     3.110E-07     1.300E-08     1.317E-13     5.388E-03     4.316E-27     1.408E-04     6.689E-17     3.291E-03     1.188E-23     2.183E-16     4.226E-17     2.521E-25     1.207E-19     5.187E-27     1.414E-05     1.000E-09     5.050E-07     1.011E-03     6.329E-03     1.776E-03     1.057E-05     5.367E-04     4.614E-05     1.700E-08     1.400E-08     1.364E-03     4.490E-03     7.369E-03     7.162E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.460E-02
wht           4.826E-06     1.033E+01     2.837E-06     2.524E-04     2.969E-04     1.717E-06     2.432E-06     1.203E-04     1.342E+00     5.374E+00     1.645E+00     7.739E-01     8.129E-06     3.000E-09     1.130E-02     1.700E-08     4.204E-13     4.124E-02     1.695E-01     2.958E-02     6.490E-03     1.520E-06     4.063E-04     1.068E-03     4.966E+00     4.618E-01     7.907E-04     4.654E-06     3.455E-05     3.300E-08     1.585E-11     6.389E-01     5.323E-23     1.725E-02     2.047E-14     3.427E-01     1.042E-24     6.518E-17     3.909E-17     2.007E-24     1.453E-17     6.895E-27     1.480E-03     3.070E-07     5.660E-05     1.200E-01     7.406E-01     1.964E-01     4.605E-03     6.370E-02     5.472E-03     1.000E-08     5.000E-09     1.585E-01     1.837E-01     1.294E+00     2.415E-03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.173E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.065E+01
gro           1.121E-06     1.211E-04     2.596E-05     7.346E-05     6.908E-05     3.990E-07     5.370E-07     2.733E-05     1.573E-01     2.963E-02     2.748E-02     7.051E-02     1.908E-05     8.000E-08     1.684E-03     7.000E-09     8.065E-11     6.161E-03     3.363E-03     5.243E-04     1.197E-04     1.437E-05     7.020E-06     1.852E-05     4.171E-03     1.754E-04     2.150E-04     8.070E-07     5.228E-06     5.800E-08     2.360E-12     9.523E-02     7.933E-25     4.525E-03     1.911E-15     2.721E-03     9.045E-25     9.358E-17     5.397E-17     1.148E-24     2.165E-18     1.070E-27     2.443E-04     3.300E-08     8.449E-06     1.813E-02     1.105E-01     3.022E-02     4.641E-04     9.494E-03     8.157E-04     3.160E-07     3.100E-08     2.423E-02     8.648E-02     1.212E-01     8.049E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.059E-01
v_f           1.495E-05     1.260E-03     8.566E-06     2.216E-01     9.253E-04     5.342E-06     7.100E-06     3.680E-04     1.820E+00     4.215E+00     8.294E-01     1.287E+00     1.429E-05     4.520E-07     2.837E-02     8.940E-07     8.625E-13     1.035E-01     2.531E-01     4.419E-02     9.694E-03     5.388E-06     6.066E-04     1.594E-03     4.640E-01     2.446E-01     2.585E-03     1.235E-05     8.735E-05     4.103E-06     9.729E-11     1.605E+00     1.902E-22     3.143E-02     8.726E-13     2.351E-02     3.121E-23     1.624E-14     5.917E-16     2.355E-24     4.289E-17     1.794E-26     4.382E-03     2.270E-07     1.421E-04     3.012E-01     1.860E+00     3.166E-01     5.326E-02     1.600E-01     1.374E-02     3.380E-07     1.423E-06     4.022E-01     1.367E+00     2.151E+00     3.341E-03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.957E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.644E+01
osd           3.700E-08     3.748E-06     6.300E-08     5.107E-06     4.388E-05     1.600E-08     2.300E-08     9.250E-07     6.108E-03     2.807E-02     6.257E-03     4.442E-03     3.220E-07     3.000E-09     1.265E-04     3.500E-08     2.840E-11     4.619E-04     2.879E-03     5.069E-04     1.150E-04     2.984E-06     6.947E-06     1.820E-05     1.558E-03     1.184E-05     1.528E-05     9.500E-08     4.050E-07     1.100E-08     1.930E-13     7.157E-03     4.765E-26     2.609E-04     8.180E-16     6.789E-04     1.034E-24     2.539E-17     3.822E-17     1.166E-25     1.670E-19     8.956E-29     1.791E-05     3.000E-09     6.440E-07     1.340E-03     8.290E-03     1.411E-04     5.371E-04     7.129E-04     6.126E-05     3.300E-08     1.200E-08     1.697E-03     2.296E-03     1.419E-02     7.631E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.653E+00
c_b           1.600E-08     8.007E-06     3.000E-08     2.211E-04     9.910E-07     6.830E-07     1.000E-08     4.380E-07     1.458E-03     3.669E-04     4.012E-04     1.175E-03     1.514E-05     2.860E-07     3.163E-05     6.147E-10     6.011E-13     1.481E-04     5.046E-04     8.068E-05     2.377E-05     1.291E-05     9.770E-07     2.994E-04     4.398E-03     1.123E-05     5.863E-06     4.320E-07     1.280E-07     6.000E-09     4.391E-14     1.791E-03     1.778E-27     7.883E-05     4.946E-17     1.794E-04     9.315E-24     3.680E-15     1.119E-16     2.019E-25     4.016E-20     2.741E-29     2.339E-05     6.111E-10     3.390E-07     3.354E-04     2.121E-03     5.218E-04     1.941E-05     1.781E-04     1.531E-05     1.271E-06     2.630E-07     4.566E-04     3.696E-04     3.844E-03     1.254E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.910E-02
pfb           3.500E-08     2.931E-04     9.320E-07     5.481E-05     2.469E-06     4.600E-08     1.603E-06     2.873E-06     1.667E-03     4.739E-04     2.593E-04     4.806E-03     1.500E-06     3.200E-08     1.734E-04     2.757E-05     1.541E-10     6.332E-04     5.450E-03     9.443E-04     2.136E-04     9.630E-07     1.266E-05     3.336E-05     2.816E-03     1.706E-05     1.904E-02     1.424E-04     8.237E-06     9.900E-08     2.385E-13     9.803E-03     8.011E-27     4.695E-04     2.038E-16     1.566E-04     8.140E-24     4.130E-15     2.515E-16     2.269E-24     2.187E-19     9.149E-28     1.601E-04     2.200E-08     1.141E-06     1.843E-03     1.140E-02     1.983E-03     3.140E-04     9.775E-04     8.398E-05     1.080E-07     2.800E-08     2.383E-03     2.591E-03     2.014E-02     7.028E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.945E-02
ocr           1.144E-06     1.970E-04     4.083E-06     5.974E-04     5.244E-06     3.800E-08     4.600E-08     2.818E-05     7.500E-03     3.300E-03     3.046E-03     5.245E-03     1.672E-05     4.080E-07     1.847E-04     4.850E-07     4.790E-12     7.469E-04     3.423E-03     5.967E-04     1.312E-04     2.266E-06     8.124E-06     2.144E-05     8.483E-03     7.409E-03     1.004E-04     9.250E-06     7.764E-06     9.565E-06     2.685E-13     1.032E-02     9.103E-27     3.120E-04     1.983E-15     6.983E-04     1.070E-22     5.334E-14     2.007E-15     1.513E-23     2.341E-19     4.044E-27     3.163E-05     8.000E-09     1.064E-06     2.767E-03     1.209E-02     1.447E-03     4.844E-04     1.032E-03     8.908E-05     5.177E-06     3.602E-06     3.135E-03     8.287E-03     1.514E-02     3.469E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.398E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.495E+00
ctl           8.422E-04     6.963E-02     7.323E-04     4.765E-02     5.209E-02     3.000E-04     3.977E-04     2.070E-02     1.733E+00     1.106E-03     6.359E-04     2.949E-03     7.298E-02     1.838E-04     3.455E-04     4.460E-04     2.600E-08     5.199E-03     3.745E+01     9.464E-03     2.037E-03     2.620E-03     1.275E-04     3.351E-04     2.824E-02     3.154E-03     5.531E-02     6.993E-02     1.943E-01     4.909E-04     1.807E-12     9.775E-02     1.133E-25     2.896E-03     1.638E-15     6.784E-04     1.171E-21     1.665E-15     2.659E-12     8.395E-25     2.721E-23     3.174E-26     1.379E-03     8.100E-08     3.484E-05     5.165E-03     3.082E-01     2.268E-02     2.080E-02     6.110E-07     2.736E-05     2.063E-05     1.838E-06     2.602E-03     1.676E-02     1.114E-02     3.491E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.117E+02     0.000E+00     1.261E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.831E+02
oap           7.384E-04     6.121E-02     1.668E-03     3.920E-02     4.568E-02     2.632E-04     3.489E-04     1.815E-02     4.533E-02     7.009E-02     6.546E-03     2.954E-02     5.198E-02     1.302E-04     2.460E-04     5.543E-04     1.100E-08     3.700E-03     2.536E-01     3.205E+00     9.676E-03     2.940E-02     6.055E-04     1.591E-03     1.340E-01     2.245E-03     2.486E-01     4.982E-02     1.381E-01     3.498E-04     1.338E-12     6.965E-02     1.542E-25     1.895E-03     1.987E-15     2.789E-03     8.411E-22     2.209E-15     1.897E-12     4.140E-24     3.406E-23     2.420E-26     9.127E-04     1.160E-07     2.482E-05     3.678E-03     2.197E-01     6.826E-02     2.523E-03     6.900E-07     1.950E-05     1.008E-05     6.391E-06     1.841E-03     7.670E-03     1.316E-02     2.148E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.718E+01     0.000E+00     3.069E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.053E+01
