table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           2.836E+01     4.814E-02     1.236E-05     4.017E-02     4.412E-05     2.889E-04     4.659E-04     1.281E-02     5.556E+01     5.096E+01     2.422E+02     5.118E+00     1.466E-04     2.216E+00     8.000E-08     3.390E-07     2.211E-06     9.690E-07     5.841E-05     2.471E-05     3.356E-02     5.064E-04     1.030E+03     6.338E-03     9.076E-03     3.526E-02     1.900E-02     1.923E-04     1.431E-05     9.690E-01     4.840E-06     2.594E-05     2.100E-04     7.576E-06     1.900E-08     6.237E-06     8.130E-07     8.200E-08     1.580E-07     1.150E-07     1.950E-07     4.876E-02     4.932E-06     3.876E-06     2.221E-06     1.820E-05     2.157E-02     1.490E-05     3.300E-08     6.620E-07     3.460E-07     1.354E-06     6.040E-07     1.418E-04     3.578E-04     2.863E-03     5.370E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.386E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.568E+03
wht           1.707E-03     1.312E+02     5.226E-04     3.105E-03     6.636E-05     1.841E-03     2.783E-02     9.513E-03     1.957E+02     1.782E+02     8.540E+02     1.808E+01     1.059E-04     3.484E-06     2.200E-08     3.630E-07     5.610E-07     2.393E-06     1.384E+01     5.412E+00     3.083E-03     8.896E+01     3.088E-02     1.990E-02     1.073E+03     2.877E-03     3.196E-03     3.797E-01     9.465E-06     1.125E-06     1.122E-06     1.809E-05     1.660E-04     6.358E-06     1.700E-08     6.573E-06     2.800E-08     1.000E-08     7.100E-08     2.270E-07     3.680E-07     7.951E-06     8.430E-07     1.803E-06     2.104E-06     1.735E-06     9.881E-04     1.151E-05     6.100E-08     6.760E-07     1.370E-07     4.330E-07     1.250E-07     9.539E-05     5.705E-05     3.086E-04     1.000E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.307E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.835E+03
gro           1.114E-02     2.398E-02     3.212E-01     3.958E-02     9.721E-04     7.715E-03     6.912E-03     1.579E-02     1.536E+00     1.046E+00     5.830E+00     6.282E-02     1.523E-03     1.620E-03     4.900E-08     1.315E-06     1.468E-03     1.364E-05     2.220E+01     8.742E+00     2.714E+00     1.433E+02     2.433E-01     3.024E-01     9.478E+00     2.507E-02     6.489E-03     9.920E-01     1.739E-04     1.440E-05     5.228E-06     6.170E-06     6.733E-04     6.754E-05     1.500E-08     4.120E-07     1.050E-07     8.100E-08     4.050E-07     2.260E-06     2.146E-06     1.327E-04     6.822E-04     6.643E-04     5.905E-06     1.066E-02     2.337E-02     2.358E-05     4.560E-07     2.085E-05     7.980E-07     1.626E-05     1.248E-06     1.828E-03     7.076E-03     7.279E-03     1.103E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.020E+02
v_f           3.927E-04     2.351E-03     1.192E-04     3.846E+02     1.168E-04     2.612E-03     7.411E-03     1.728E-03     5.284E-03     8.072E-03     1.353E-01     3.323E-03     2.789E-04     2.405E+00     4.130E-07     2.271E-05     1.144E-06     6.940E-06     3.144E+00     1.230E+00     3.913E-02     2.022E+01     9.159E-01     1.221E-02     1.201E+02     1.376E+01     7.133E+01     1.357E+01     4.350E-04     8.245E-01     1.748E-04     4.956E-06     5.449E-01     4.837E-01     6.878E-05     1.267E-05     6.175E-05     1.570E-04     7.245E-05     2.235E-04     4.780E-05     6.183E-04     5.500E-06     1.723E-06     1.134E-06     1.129E-04     3.980E-02     2.569E-04     2.404E-05     4.237E-05     1.124E-06     1.296E-04     9.791E-05     6.573E-04     1.679E-02     5.433E+01     3.130E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.769E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.887E+03
osd           1.213E-04     5.055E-04     8.486E-05     6.694E-03     8.152E+00     4.695E-03     1.059E-02     1.194E-03     1.069E-02     6.652E-03     3.881E-01     2.580E-04     1.396E-05     2.367E-05     2.900E-08     2.640E-06     7.761E-03     1.086E-06     2.173E-02     7.616E-03     6.687E+02     1.620E-01     3.588E-03     9.817E-02     6.651E-02     9.915E-03     1.198E+02     1.290E-04     6.605E-05     1.777E-05     2.051E-05     5.099E-06     1.202E-01     3.889E-05     1.649E-06     7.670E-06     3.587E-06     7.710E-07     9.354E-06     1.291E-05     3.499E-06     3.927E-05     5.734E-04     9.480E-04     1.639E-05     1.145E-06     2.732E-03     8.278E-06     3.483E-05     5.342E-06     5.360E-07     2.196E-06     4.660E-07     2.824E-04     2.913E-04     9.546E-04     5.690E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.384E+02
c_b           2.329E-05     6.029E-04     5.765E-06     5.546E-02     8.413E-06     1.567E+02     6.749E-04     1.444E-03     4.776E+01     5.150E+01     1.399E+02     3.898E+01     3.764E-04     4.719E-04     2.000E-08     1.000E-08     6.530E-07     5.428E-06     5.436E-05     2.039E-05     1.008E-02     1.295E-02     1.912E-02     1.523E+03     7.290E-03     6.758E-03     3.063E-03     5.367E-05     1.446E-05     9.310E-06     3.439E+01     3.515E-04     1.359E-03     2.000E+01     2.890E-02     8.828E-02     2.758E-02     1.179E-05     6.430E-07     3.008E-01     4.170E-02     5.998E-02     8.658E-05     9.034E-06     1.209E-05     5.870E-07     3.517E-01     8.710E-07     2.100E-08     3.900E-08     9.800E-08     1.227E-04     3.812E-05     5.658E+00     4.225E+00     3.232E-01     1.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.589E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.024E+03
pfb           9.272E-03     1.818E-01     2.957E-03     2.678E-01     5.832E-03     8.188E-02     7.524E+00     3.391E-01     4.747E+01     4.760E+01     1.690E+02     3.006E+00     7.512E-04     7.181E-03     2.612E-06     7.684E-04     6.005E-04     7.041E-06     6.399E-03     9.955E-04     1.900E+01     3.233E-02     5.046E-01     2.515E+00     9.242E-02     7.155E-02     3.666E+03     3.153E-03     1.095E-03     3.579E-04     4.541E-03     2.535E-04     3.398E-04     2.576E+01     4.100E-02     1.389E-01     2.742E-02     5.841E-06     4.709E-06     3.914E-01     6.112E-02     5.854E-02     2.107E-03     3.919E-03     7.757E-05     1.338E-02     1.156E-01     1.678E-04     2.123E-05     5.593E-05     1.212E-05     6.640E-05     3.143E-05     6.489E+00     7.237E+00     3.848E-01     1.206E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.228E-01     2.445E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.099E+03
ocr           1.060E+02     1.644E+02     9.520E+00     1.929E+02     3.892E+00     2.009E+02     1.618E+02     1.661E+02     3.712E+02     4.237E+02     1.621E+03     3.873E+01     4.401E-04     1.182E-01     1.533E-06     1.375E-05     6.997E-06     1.436E-05     2.961E+01     1.158E+01     2.181E-02     1.904E+02     1.451E+02     2.388E-02     5.555E+01     1.480E+02     1.314E+02     1.199E-03     2.444E+00     1.159E-03     4.839E+00     1.433E-04     1.257E+01     8.178E-04     9.295E-05     8.387E-05     5.571E-05     1.392E-04     6.920E-05     1.965E-04     3.358E-01     1.465E-03     4.125E-05     1.658E-04     1.159E-05     3.053E-02     2.322E-01     8.446E-05     2.170E-05     7.109E-05     1.202E-05     2.637E-04     1.079E-04     9.807E-03     9.186E-03     1.240E-02     8.428E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.354E+02     1.260E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.437E+03
ctl           2.729E+00     5.445E+00     3.588E-01     4.900E+00     1.168E-03     4.663E+00     4.224E+00     5.873E+00     3.672E+02     4.279E-02     1.567E-01     6.183E-03     1.103E-04     6.051E+00     3.120E-07     4.560E-07     1.753E-06     2.882E-06     3.961E+01     1.586E-02     2.090E+02     5.631E-02     6.833E-04     5.714E-03     2.107E-03     1.322E-03     1.258E-01     3.155E+00     2.036E+02     2.621E-06     1.416E-06     5.173E-06     6.824E+00     4.571E-05     4.726E-03     8.962E-03     1.295E-06     1.439E-06     1.835E-06     3.094E-06     1.372E-06     1.153E+01     3.812E-06     1.815E-06     2.469E-06     2.975E-04     1.499E+02     1.176E-05     8.735E-06     8.771E-06     2.320E-07     6.270E-05     1.543E-05     1.039E-03     1.012E-03     1.527E+00     1.352E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.247E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.276E+03
oap           1.811E-02     3.623E-02     1.698E-02     4.102E-02     2.737E-04     3.561E-02     3.326E-02     8.615E-02     1.392E-02     1.535E+01     7.924E-02     4.889E-03     7.258E-04     2.190E+00     3.400E-07     5.150E-07     1.338E-06     3.276E-06     5.194E-02     1.783E+01     7.570E+01     1.972E-02     2.643E-04     5.796E-03     8.186E-03     1.192E-03     1.139E-01     1.144E+00     7.375E+01     3.846E-06     2.755E-06     5.126E-06     2.472E+00     1.174E-05     1.075E-03     7.550E-03     8.110E-07     8.750E-07     9.340E-07     6.135E-06     1.218E-06     4.179E+00     3.793E-06     1.817E-06     2.398E-06     2.959E-04     5.433E+01     5.004E-05     1.088E-06     1.075E-05     8.300E-07     3.862E-05     4.229E-05     1.387E-03     3.737E-03     5.576E-01     5.600E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.369E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.674E+03
