table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           1.397E+00     8.341E-03     7.111E-03     1.811E-01     1.609E-03     5.948E-04     1.059E-01     9.035E-03     2.777E-01     4.974E-01     1.543E-01     1.263E-01     1.372E-02     7.626E-03     5.715E-04     6.832E-03     3.641E-01     9.251E-04     3.202E-03     1.104E-03     2.470E-04     6.328E-03     1.322E+00     8.304E-05     7.273E-03     1.069E-01     6.798E-02     1.454E-03     3.531E-02     2.249E-04     5.387E-05     4.518E-03     1.968E-06     4.216E-03     9.244E-04     6.635E-02     1.808E-04     3.804E-04     1.405E-03     1.555E-04     1.180E-03     4.763E-11     1.173E-04     7.664E-03     2.299E-06     2.960E-01     2.002E+00     2.218E+00     2.221E-01     2.375E-01     2.663E-01     1.587E-02     7.698E-03     4.131E-01     7.244E-02     7.822E-01     4.500E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wht           1.448E-04     6.701E+01     3.684E-03     1.045E-01     7.618E-04     3.546E-04     7.583E-02     5.599E-03     1.569E+01     4.122E+01     5.278E+00     1.369E+01     1.003E-02     3.908E-03     1.874E-03     4.316E-02     5.513E-01     6.227E-04     8.784E-02     3.403E-02     8.053E-03     1.719E-01     5.111E-03     1.872E-03     6.310E+01     1.564E+01     3.952E-01     7.744E-04     8.526E-02     9.016E-05     1.317E-04     1.015E-02     1.988E-06     6.257E-03     1.505E-03     1.618E-01     4.392E-04     2.342E-04     6.085E-04     8.513E-04     2.699E-03     6.359E-12     9.603E-05     1.584E-02     5.708E-06     1.269E-01     4.621E+00     1.233E+00     1.384E-01     1.370E-01     2.696E-02     4.670E-02     1.055E-02     1.956E-01     3.011E-02     1.804E+00     1.500E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.190E+02     7.421E+00     3.355E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.859E+00
gro           1.177E-03     3.212E-02     1.463E+00     1.015E+00     6.801E-03     3.400E-03     6.076E-01     5.221E-02     3.983E-01     4.622E-01     1.667E-01     1.280E-01     1.852E-02     5.994E-03     2.159E-03     2.128E-02     2.181E+00     1.070E-03     1.828E-02     6.066E-03     1.674E-03     3.650E-02     5.396E-04     4.749E-04     1.412E-01     5.828E-02     3.817E-01     1.210E-03     2.057E-01     1.085E-04     3.182E-04     2.433E-02     4.051E-06     1.409E-02     4.303E-02     1.959E-01     1.064E-03     3.356E-03     1.534E-03     1.306E-03     6.486E-03     2.896E-11     1.944E-04     3.797E-02     1.342E-05     1.459E-01     1.116E+01     1.376E+00     1.770E-01     8.570E-01     6.039E-02     1.275E-01     1.068E-02     2.725E-01     4.038E-02     4.340E+00     3.000E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.009E+02     5.642E+00     2.725E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
v_f           2.609E-03     7.133E-02     7.676E-02     3.304E+02     1.510E-02     7.575E-03     1.353E+00     1.163E-01     3.751E+01     9.318E+01     1.401E+01     3.020E+01     5.808E-02     2.132E-02     1.191E-02     5.397E-01     1.508E+00     3.492E-03     2.392E-01     1.008E-01     2.510E-02     4.696E-01     1.292E-02     3.820E-03     6.091E+01     1.929E+01     1.328E+00     4.249E-03     5.452E-01     4.666E-04     8.429E-04     6.469E-02     1.189E-05     3.893E-02     2.099E-01     4.324E-02     2.819E-03     3.816E-02     4.675E-03     9.778E-04     1.727E-02     9.316E-11     5.699E-04     1.010E-01     3.547E-05     6.394E-01     2.959E+01     4.321E+00     2.989E+00     8.602E-01     4.975E-02     1.236E-01     2.506E-01     1.037E+00     1.585E-01     1.152E+01     1.490E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.020E+03     4.813E+01     2.507E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.774E+02
osd           4.343E-04     1.155E-02     1.216E-02     3.631E-01     1.314E+01     1.182E-03     2.184E-01     1.810E-02     1.820E-01     5.285E-01     1.379E-01     1.315E-01     8.846E-03     3.535E-03     8.871E-04     2.009E-02     7.036E-01     5.402E-04     1.058E-02     4.003E-03     1.532E+01     2.085E-02     4.593E-04     2.212E-04     1.055E+00     1.128E-02     1.408E-01     7.016E-04     7.244E-02     8.380E-05     1.120E-04     8.618E-03     1.707E-06     5.343E-03     2.086E-02     4.039E-02     3.735E-04     8.973E-04     1.040E-03     2.543E-04     2.296E-03     5.451E-12     9.231E-05     1.410E-02     4.947E-06     1.122E-01     3.945E+00     1.243E-01     1.161E+00     3.618E-02     1.085E-02     3.921E-02     9.419E-03     1.771E-01     2.866E-02     1.535E+00     2.620E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.504E+01
c_b           3.425E-04     9.272E-03     9.854E-03     3.009E-01     1.955E-03     3.174E-01     1.721E-01     1.480E-02     7.089E-02     1.254E-01     2.734E-02     4.060E-02     6.020E-03     2.177E-03     1.421E-03     1.257E-02     4.935E-01     3.609E-04     4.983E-03     1.671E-03     3.730E-04     1.138E-02     1.421E-04     1.734E+00     9.487E-03     7.812E-03     1.082E-01     4.336E-04     5.834E-02     4.567E-05     9.013E-05     7.104E-03     1.279E-06     4.125E-03     1.556E-02     3.885E-02     3.017E-04     6.518E-03     2.836E-04     5.867E-05     1.843E-03     3.371E-12     6.810E-05     1.084E-02     4.077E-06     6.020E-02     3.177E+00     6.170E-01     1.116E-01     7.951E-02     5.503E-02     3.396E-02     5.275E-03     1.036E-01     1.618E-02     1.235E+00     3.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
pfb           4.403E-04     1.289E-02     1.326E-02     3.936E-01     2.586E-03     1.326E-03     3.130E-01     2.032E-02     9.051E-02     1.515E-01     2.726E-02     6.514E-02     6.129E-03     1.686E-03     1.838E-05     6.222E-02     5.240E-01     3.397E-04     7.063E-03     2.402E-03     7.550E-04     1.387E-02     2.042E-04     1.788E-04     1.164E-02     1.044E-02     1.097E+02     3.935E-04     7.955E-02     2.184E-05     1.231E-04     9.379E-03     1.448E-06     5.273E-03     2.049E-02     5.662E-02     4.121E-04     3.520E-03     4.855E-04     3.085E-04     2.502E-03     1.102E-12     8.760E-05     1.483E-02     5.343E-06     2.881E-02     4.308E+00     4.072E-01     6.712E-02     2.047E-01     1.441E-02     4.504E-02     8.626E-03     6.934E-02     9.185E-03     1.675E+00     2.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.975E+02     8.985E+00     4.777E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.444E+03
ocr           2.063E-03     5.251E-02     5.687E-02     1.714E+00     1.102E-02     5.634E-03     1.006E+00     2.508E+00     4.213E-01     8.279E-01     1.790E-01     2.111E-01     2.489E-02     6.386E-03     9.696E-03     1.471E-01     2.162E+00     1.371E-03     2.970E-02     1.003E-02     2.174E-03     5.877E-02     8.580E-04     7.657E-04     1.305E+00     2.740E+01     6.326E-01     1.327E-03     3.414E-01     7.658E-05     5.309E-04     4.023E-02     6.051E-06     2.243E-02     1.301E-01     3.373E-02     1.770E-03     2.216E-02     1.799E-03     8.066E-04     1.072E-02     1.743E-11     2.724E-04     6.240E-02     2.247E-05     9.405E-02     1.847E+01     1.474E+00     5.633E-01     4.931E-01     5.234E-02     1.453E-01     8.687E-02     2.526E-01     3.083E-02     7.180E+00     2.784E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.608E+01     8.345E-01     8.263E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.871E+01
ctl           6.848E-03     5.604E-02     5.887E-02     1.705E+00     1.216E-02     6.027E-03     1.017E+00     8.830E-02     3.440E+02     6.578E-01     1.220E-01     2.091E-01     3.970E-02     1.542E-02     1.290E-02     9.240E-02     2.383E+00     2.400E-03     6.205E+01     2.005E-02     2.245E-03     7.016E-02     9.425E-04     8.181E-04     5.427E-02     4.865E-02     6.515E-01     3.063E-03     3.453E-01     3.513E-04     5.332E-04     4.107E-02     7.844E-06     2.515E-02     9.375E-02     2.226E-01     1.791E-03     1.329E-02     3.764E-03     1.209E-03     1.093E-02     7.417E-11     3.888E-04     6.454E-02     2.248E-05     4.635E-01     1.880E+01     1.769E+00     3.499E+00     5.718E-01     1.321E-01     2.135E-01     1.799E-02     7.581E-01     1.218E-01     7.311E+00     5.420E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.809E+02     2.412E+01     1.218E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.737E+00
oap           2.533E-03     5.255E-02     6.793E-02     1.631E+00     1.420E-02     6.222E-03     9.747E-01     8.316E-02     3.698E-01     7.045E-01     1.123E-01     1.976E-01     2.928E-02     9.472E-03     1.359E-02     9.248E-02     2.032E+00     1.688E-03     4.835E-02     4.670E+01     1.878E-03     5.650E-02     7.713E-04     7.145E-04     4.832E-02     4.266E-02     6.042E-01     1.933E-03     3.252E-01     1.715E-04     5.027E-04     3.844E-02     6.388E-06     2.226E-02     6.600E-02     3.193E-01     1.682E-03     1.314E-02     2.691E-03     1.124E-03     1.025E-02     3.631E-11     3.010E-04     5.992E-02     2.120E-05     2.263E-01     1.763E+01     2.977E+00     5.026E-01     5.163E-01     5.299E-02     8.461E-02     1.384E-01     4.307E-01     6.391E-02     6.856E+00     2.230E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.603E+02     3.104E+01     1.628E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.325E+01
