Scenario,year,variable,sector,qualifier,type,value
"Baseline","2008","xp","Primary","","S1",55.466898325
"Baseline","2008","xp","Manufact","","S1",97.896656922
"Baseline","2008","xp","Tertiary","","S1",122.886990790
"Baseline","2008","pp","Primary","","S2",1.264460975
"Baseline","2008","pp","Manufact","","S2",0.876250704
"Baseline","2008","pp","Tertiary","","S2",0.799795312
"Baseline","2008","x","Primary","","S1",55.466898325
"Baseline","2008","x","Manufact","","S1",97.896656922
"Baseline","2008","x","Tertiary","","S1",122.886990790
"Baseline","2008","xac","hhsld","Primary","H1",35.355625179
"Baseline","2008","xac","hhsld","Manufact","H1",21.689103717
"Baseline","2008","xac","hhsld","Tertiary","H1",41.083393548
"Baseline","2008","xa","Primary","","S1",100.732604380
"Baseline","2008","xd","Primary","","S1",56.501521864
"Baseline","2008","xmt","Primary","","S1",22.212827624
"Baseline","2008","xet","Primary","","S1",2.969657971
"Baseline","2008","xm","Primary","row","S3",13.794629027
"Baseline","2008","xe","Primary","row","S3",4.150681504
"Baseline","2008","xa","Manufact","","S1",176.135461200
"Baseline","2008","xd","Manufact","","S1",88.858993755
"Baseline","2008","xmt","Manufact","","S1",43.677187955
"Baseline","2008","xet","Manufact","","S1",12.826766516
"Baseline","2008","xm","Manufact","row","S3",26.500538127
"Baseline","2008","xe","Manufact","row","S3",19.275522481
"Baseline","2008","xa","Tertiary","","S1",178.917398305
"Baseline","2008","xd","Tertiary","","S1",116.575438694
"Baseline","2008","xmt","Tertiary","","S1",3.740258685
"Baseline","2008","xet","Tertiary","","S1",7.815031812
"Baseline","2008","xm","Tertiary","row","S3",2.485228232
"Baseline","2008","xe","Tertiary","row","S3",11.761592048
"Baseline","2008","gdpmp","","","M1",109.125904821
"Baseline","2008","rgdpmp","","","M1",125.011403129
"Baseline","2008","pgdpmp","","","M2",0.872927606
"Baseline","2008","tcons","","","M1",98.128122443
"Baseline","2008","tinv","","","M1",19.796597237
"Baseline","2008","texp","","","M1",35.187796034
"Baseline","2008","timp","","","M1",42.780395386
"Baseline","2008","pcons","","","M1",96.726023032
"Baseline","2008","pinv","","","M1",84.518324962
"Baseline","2008","pexp","","","M1",91.001582556
"Baseline","2008","pimp","","","M1",100.000000000
"Baseline","2008","gdpfc","","","M1",104.463931078
"Baseline","2008","rgdpfc","","","M1",112.314057940
"Baseline","2008","pgdpfc","","","M2",0.930105572
"Baseline","2008","pk","","","M2",1.575220037
"Baseline","2008","pland","","","M2",6.420544041
"Baseline","2008","ggdp","","","M2",0.030000000
"Baseline","2008","gl","","","M2",0.660772251
"Baseline","2008","ky","Captl","","M1",41.719027898
"Baseline","2008","ty","LandR","","M1",7.577996703
"Baseline","2008","tary","","","M1",4.661973743
"Baseline","2008","rtary","","","M1",5.118982357
"Baseline","2008","tmadj","","","M1",1.000000000
"Baseline","2008","gy","","","M1",11.360911234
"Baseline","2008","gexp","","","M1",11.665814201
"Baseline","2008","savg","","","M1",-0.304902968
"Baseline","2008","rsg","","","M1",-0.334792300
"Baseline","2008","tks","Captl","","M1",26.484571620
"Baseline","2008","ptks","Captl","","M2",1.575220037
"Baseline","2008","savf","","","M1",11.630000000
"Baseline","2008","plev","","","M2",0.910722760
"Baseline","2008","er","","","M2",1.000000000
"Baseline","2008","taxadjh","","","M2",0.654642922
"Baseline","2008","ly","UnSkil","","M3",43.250414801
"Baseline","2008","ly","Skill","","M3",11.911842191
"Baseline","2008","yh","hhsld","","H1",104.472481971
"Baseline","2008","yd","hhsld","","H1",97.773544480
"Baseline","2008","gtrh","hhsld","","H1",0.000000000
"Baseline","2008","cpi","hhsld","","H2",0.967260230
"Baseline","2008","kappah","hhsld","","H2",0.097948894
"Baseline","2009","xp","Primary","","S1",58.245989983
"Baseline","2009","xp","Manufact","","S1",100.568229848
"Baseline","2009","xp","Tertiary","","S1",125.846680802
"Baseline","2009","pp","Primary","","S2",1.223508176
"Baseline","2009","pp","Manufact","","S2",0.874480376
"Baseline","2009","pp","Tertiary","","S2",0.805963190
"Baseline","2009","x","Primary","","S1",58.245989983
"Baseline","2009","x","Manufact","","S1",100.568229848
"Baseline","2009","x","Tertiary","","S1",125.846680802
"Baseline","2009","xac","hhsld","Primary","H1",36.806870427
"Baseline","2009","xac","hhsld","Manufact","H1",22.302018115
"Baseline","2009","xac","hhsld","Tertiary","H1",42.037938487
"Baseline","2009","xa","Primary","","S1",104.240133422
"Baseline","2009","xd","Primary","","S1",59.213241129
"Baseline","2009","xmt","Primary","","S1",21.773522483
"Baseline","2009","xet","Primary","","S1",3.250271326
"Baseline","2009","xm","Primary","row","S3",13.521811376
"Baseline","2009","xe","Primary","row","S3",4.542893899
"Baseline","2009","xa","Manufact","","S1",181.023945848
"Baseline","2009","xd","Manufact","","S1",91.410888437
"Baseline","2009","xmt","Manufact","","S1",44.781267501
"Baseline","2009","xet","Manufact","","S1",13.053298988
"Baseline","2009","xm","Manufact","row","S3",27.170423334
"Baseline","2009","xe","Manufact","row","S3",19.615945904
"Baseline","2009","xa","Tertiary","","S1",183.663706759
"Baseline","2009","xd","Tertiary","","S1",119.616107755
"Baseline","2009","xmt","Tertiary","","S1",3.901039340
"Baseline","2009","xet","Tertiary","","S1",7.788000531
"Baseline","2009","xm","Tertiary","row","S3",2.592059512
"Baseline","2009","xe","Tertiary","row","S3",11.720910076
"Baseline","2009","gdpmp","","","M1",111.768216636
"Baseline","2009","rgdpmp","","","M1",128.761745223
"Baseline","2009","pgdpmp","","","M2",0.868023468
"Baseline","2009","tcons","","","M1",101.146827029
"Baseline","2009","tinv","","","M1",19.899801252
"Baseline","2009","texp","","","M1",35.879749880
"Baseline","2009","timp","","","M1",43.284294222
"Baseline","2009","pcons","","","M1",95.590228138
"Baseline","2009","pinv","","","M1",84.699654740
"Baseline","2009","pexp","","","M1",90.270890446
"Baseline","2009","pimp","","","M1",100.000000000
"Baseline","2009","gdpfc","","","M1",107.082914618
"Baseline","2009","rgdpfc","","","M1",115.241812402
"Baseline","2009","pgdpfc","","","M2",0.929201931
"Baseline","2009","pk","","","M2",1.268736712
"Baseline","2009","pland","","","M2",7.219920963
"Baseline","2009","ggdp","","","M2",0.030000000
"Baseline","2009","gl","","","M2",-0.080599801
"Baseline","2009","ky","Captl","","M1",39.470718881
"Baseline","2009","ty","LandR","","M1",8.521479940
"Baseline","2009","tary","","","M1",4.685302018
"Baseline","2009","rtary","","","M1",5.173989957
"Baseline","2009","tmadj","","","M1",1.000000000
"Baseline","2009","gy","","","M1",11.804146361
"Baseline","2009","gexp","","","M1",12.107317231
"Baseline","2009","savg","","","M1",-0.303170870
"Baseline","2009","rsg","","","M1",-0.334792300
"Baseline","2009","tks","Captl","","M1",31.110252038
"Baseline","2009","ptks","Captl","","M2",1.268736712
"Baseline","2009","savf","","","M1",11.630000000
"Baseline","2009","plev","","","M2",0.905549113
"Baseline","2009","er","","","M2",1.000000000
"Baseline","2009","taxadjh","","","M2",0.678667368
"Baseline","2009","ly","UnSkil","","M3",46.089759608
"Baseline","2009","ly","Skill","","M3",12.996159283
"Baseline","2009","yh","hhsld","","H1",107.091004688
"Baseline","2009","yd","hhsld","","H1",99.972160346
"Baseline","2009","gtrh","hhsld","","H1",0.000000000
"Baseline","2009","cpi","hhsld","","H2",0.955902281
"Baseline","2009","kappah","hhsld","","H2",0.097948894
"Baseline","2010","xp","Primary","","S1",60.679912949
"Baseline","2010","xp","Manufact","","S1",103.515452167
"Baseline","2010","xp","Tertiary","","S1",129.178383507
"Baseline","2010","pp","Primary","","S2",1.195872070
"Baseline","2010","pp","Manufact","","S2",0.870965819
"Baseline","2010","pp","Tertiary","","S2",0.807251215
"Baseline","2010","x","Primary","","S1",60.679912949
"Baseline","2010","x","Manufact","","S1",103.515452167
"Baseline","2010","x","Tertiary","","S1",129.178383507
"Baseline","2010","xac","hhsld","Primary","H1",38.037508497
"Baseline","2010","xac","hhsld","Manufact","H1",22.898661290
"Baseline","2010","xac","hhsld","Tertiary","H1",43.183097234
"Baseline","2010","xa","Primary","","S1",107.531842386
"Baseline","2010","xd","Primary","","S1",61.608674919
"Baseline","2010","xmt","Primary","","S1",21.628653407
"Baseline","2010","xet","Primary","","S1",3.472588968
"Baseline","2010","xm","Primary","row","S3",13.431844660
"Baseline","2010","xe","Primary","row","S3",4.853626561
"Baseline","2010","xa","Manufact","","S1",186.107721237
"Baseline","2010","xd","Manufact","","S1",94.177494279
"Baseline","2010","xmt","Manufact","","S1",45.787832199
