table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
pdr           1.198E-01     1.032E-02     4.957E-05     5.627E-03     1.379E-05     1.501E-05     2.259E-03     4.923E-04     7.979E-02     1.232E-01     4.235E-02     6.405E-03     4.411E-03     6.038E-03     7.052E-11     1.000E-09     1.000E-09     1.040E-05     1.929E-02     9.510E-03     3.606E-04     1.158E-02     1.468E+00     7.350E-03     5.132E-02     7.733E-03     1.977E-04     3.242E-05     3.098E-06     3.800E-07     3.424E-06     6.432E-04     3.618E-04     9.650E-07     3.300E-08     1.276E-06     2.310E-07     6.968E-10     4.600E-08     2.700E-08     9.100E-07     3.360E-03     3.630E-07     3.326E-10     1.710E-07     9.953E-06     2.297E-04     1.037E-06     3.100E-08     2.020E-07     4.100E-08     3.800E-08     6.700E-08     1.228E-04     6.602E-05     1.666E-04     3.300E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.536E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wht           6.890E-06     6.116E+01     6.758E-04     1.312E-02     1.619E-04     4.079E-04     1.267E+01     6.816E-02     2.489E+01     4.903E+01     2.407E+01     1.397E+01     3.087E-04     9.007E-02     1.302E-10     3.000E-09     1.000E-09     3.600E+00     2.639E+01     1.301E+01     7.881E+00     1.580E+01     5.995E-02     2.993E+02     1.060E+03     2.167E+01     1.683E+01     6.390E+00     4.542E-03     3.313E+00     1.135E-01     1.624E-03     6.981E+00     6.917E-01     1.740E-07     8.051E-06     4.650E-07     7.000E-09     1.190E-07     7.640E-07     6.603E-06     1.053E+01     3.870E-07     8.276E-10     2.700E-07     2.900E-06     2.887E-01     1.818E-02     9.413E-04     2.236E-03     7.200E-08     5.900E-08     4.700E-08     2.724E-04     1.755E-05     1.519E+02     8.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.448E+03     5.354E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.599E+01
gro           5.207E-06     1.322E-02     8.520E+00     2.011E-02     2.122E-04     2.544E-04     5.213E+00     2.521E-02     1.227E+01     2.552E+01     1.885E+01     5.832E+00     6.510E-04     4.306E-02     1.767E-10     9.107E-10     1.270E-07     1.483E+00     3.323E+00     1.636E+00     2.621E+01     1.990E+00     6.736E-01     1.235E+02     4.386E+02     8.948E+00     6.893E+00     2.653E+00     3.555E-05     9.825E-01     3.722E-02     1.743E-03     2.849E+00     2.185E-01     4.400E-08     9.300E-08     3.690E-07     9.000E-09     1.500E-07     3.400E-07     6.859E-06     4.821E+00     2.636E-05     2.900E-08     1.830E-07     6.539E-03     1.553E-01     3.050E-03     2.289E-04     5.671E-03     8.300E-08     1.760E-06     2.980E-07     1.254E-03     3.703E-04     6.267E+01     5.300E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.421E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.585E+01
v_f           3.820E-07     2.624E-02     1.359E-02     7.105E+01     3.123E-05     5.092E-01     4.127E+00     6.168E+00     2.241E+01     3.627E+01     1.211E+01     4.599E+00     3.256E-04     4.338E-02     2.000E-09     1.210E-07     2.000E-09     1.167E+00     2.182E-01     1.083E-01     2.031E+01     1.309E-01     4.106E-02     9.855E+01     3.503E+02     7.098E+00     5.407E+00     2.107E+00     1.548E-04     2.171E+00     3.053E-02     1.299E-03     2.339E+00     2.192E-01     3.266E-03     5.387E-06     1.688E-04     1.591E-06     1.456E-06     2.260E-07     9.329E-06     2.226E+00     2.217E-06     7.061E-10     1.080E-07     5.973E-05     1.265E-01     1.129E-02     7.054E-03     2.964E-03     4.370E-07     1.259E-06     1.323E-05     3.468E-03     1.183E-02     5.018E+01     1.640E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.389E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.610E+03
osd           2.450E-07     3.818E-04     3.875E-04     7.623E-03     1.349E+01     3.072E-04     1.043E+00     7.497E-05     7.420E+00     1.228E+01     8.710E+00     1.147E+00     1.448E-05     7.674E-06     1.182E-10     8.000E-09     3.935E-06     2.973E-01     1.862E+00     9.152E-01     6.311E+01     1.112E+00     2.412E-01     2.433E+01     8.622E+01     1.778E+00     1.392E+00     5.223E-01     7.169E-05     1.206E-01     9.951E-03     1.266E-03     5.549E-01     4.243E-02     3.420E-07     1.100E-07     6.260E-07     6.000E-09     1.760E-07     6.000E-08     5.944E-06     1.053E+00     7.201E-05     1.230E-07     1.278E-06     2.840E-07     1.844E-02     3.508E-04     8.876E-03     3.781E-04     1.350E-07     2.080E-07     1.270E-07     3.073E-04     3.764E-05     1.233E+01     2.840E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.660E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.326E+00
c_b           5.000E-08     3.929E-02     1.629E-02     5.096E-02     1.774E-02     1.103E+01     1.784E+00     4.170E-03     9.064E+00     1.175E+01     1.277E+01     1.985E+00     6.842E-02     2.070E-07     7.906E-11     1.342E-11     7.670E-10     5.056E-01     1.462E+01     7.205E+00     8.104E+00     8.757E+00     1.846E-02     3.999E+01     1.399E+02     2.978E+00     2.236E+00     8.602E-01     5.074E-02     4.445E-01     1.501E-02     1.025E-01     9.813E-01     9.711E-02     5.446E-02     5.286E-03     2.339E-02     3.880E-07     4.600E-08     3.246E-02     1.085E-02     1.492E+00     2.896E-02     4.000E-09     5.382E-03     2.790E-07     1.038E-02     2.213E-02     3.807E-03     2.045E-03     2.106E-02     5.280E-02     1.446E-02     8.527E-03     1.712E-06     1.980E+01     3.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.511E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
pfb           6.720E-07     1.852E-02     1.057E-03     4.642E-03     6.139E-05     3.311E-03     2.046E+01     5.852E-04     3.298E-01     3.969E-01     1.649E-01     4.597E-01     3.493E-03     1.122E-02     8.056E-11     4.342E-06     3.690E-07     9.130E-02     1.140E+00     5.620E-01     1.617E+00     6.825E-01     1.818E-03     7.800E+00     3.577E+01     2.950E+01     5.815E-01     1.708E-01     4.975E-04     2.212E-02     1.189E-05     6.790E-07     1.932E-01     2.171E-02     7.020E-07     3.250E-07     3.311E-06     4.280E-07     7.540E-07     8.270E-07     1.892E-05     3.410E-01     1.001E-04     1.470E-07     7.310E-07     2.350E-05     1.710E+00     2.296E+00     3.478E-01     1.301E+00     6.300E-08     5.850E-07     2.590E-07     4.369E-05     2.902E-06     5.013E+02     3.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.021E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.396E+01
ocr           3.924E-03     7.296E+00     3.235E+00     1.728E+01     7.062E-03     3.149E-01     1.343E-01     2.047E+00     1.575E+00     4.590E+00     4.710E+00     1.886E-01     1.492E-01     6.090E-03     7.000E-09     7.300E-08     1.100E-08     3.212E-02     5.482E-01     2.702E-01     6.086E-01     3.282E-01     7.539E-05     2.762E+00     9.887E+00     2.671E-01     1.553E-01     6.115E-02     3.191E-03     3.375E-02     4.643E-04     1.094E-03     9.143E-02     3.968E-03     5.090E-04     2.778E-05     3.340E-05     5.311E-06     5.769E-06     4.479E-06     2.358E-05     9.266E-02     1.547E-05     6.900E-08     1.062E-06     1.657E-02     1.637E-02     5.390E-04     3.501E-04     3.963E-04     4.203E-06     2.502E-05     3.423E-05     8.980E-03     1.480E-03     1.469E+00     2.043E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.824E+02     0.000E+00     2.214E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.920E+01
ctl           5.046E-03     2.133E+01     6.635E+00     1.129E+01     1.368E-01     1.193E-01     6.106E-01     8.798E-01     2.808E+01     1.264E-02     5.129E-03     3.815E+00     4.057E-01     1.780E-01     6.000E-09     3.000E-09     3.000E-09     9.363E-01     2.275E+02     8.193E-02     1.723E+01     2.221E-02     7.650E-03     8.045E+01     3.296E+00     6.584E+00     4.380E+00     1.728E+00     1.544E-01     2.476E-01     2.832E-02     1.905E-03     2.386E+00     1.764E-01     4.939E-04     4.120E-07     2.279E-03     2.190E-07     5.150E-07     3.110E-07     2.064E-03     3.513E+00     1.461E-03     8.328E-10     2.900E-07     2.006E-04     1.686E-01     4.665E-03     2.384E-02     5.543E-03     1.760E-07     4.523E-06     7.600E-07     2.130E-03     2.289E-03     5.406E+01     7.960E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.313E+02     0.000E+00     4.486E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.847E+00
oap           6.052E-04     1.406E+01     1.219E+01     1.081E+01     6.029E-01     1.700E-01     2.101E+00     4.442E-01     3.424E-03     2.369E+00     2.797E-03     1.631E+00     1.698E-01     7.374E-02     2.000E-09     3.000E-09     2.000E-09     3.950E-01     1.919E-01     1.717E+02     7.265E+00     7.883E-03     3.216E-03     3.393E+01     1.393E+00     2.775E+00     1.858E+00     7.303E-01     9.021E-02     8.315E-02     1.195E-02     8.042E-04     1.006E+00     7.441E-02     8.113E-05     5.330E-07     1.081E-03     2.590E-07     5.980E-07     8.108E-06     8.796E-04     1.505E+00     6.175E-04     8.174E-10     2.730E-07     1.926E-04     7.611E-02     1.220E-02     1.827E-03     3.842E-03     4.040E-07     3.551E-06     1.307E-05     2.115E-03     1.681E-03     2.277E+01     3.290E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.606E+02     0.000E+00     7.108E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.771E+01
