Scenario,year,variable,sector,qualifier,type,value
"Baseline","2008","xp","Primary","","S1",55.142643148
"Baseline","2008","xp","Manufact","","S1",98.629861178
"Baseline","2008","xp","Tertiary","","S1",122.752381473
"Baseline","2008","pp","Primary","","S2",1.259890264
"Baseline","2008","pp","Manufact","","S2",0.876311299
"Baseline","2008","pp","Tertiary","","S2",0.800667575
"Baseline","2008","x","Primary","","S1",55.142643148
"Baseline","2008","x","Manufact","","S1",98.629861178
"Baseline","2008","x","Tertiary","","S1",122.752381473
"Baseline","2008","xac","hhsld","Primary","H1",34.485337988
"Baseline","2008","xac","hhsld","Manufact","H1",20.876501989
"Baseline","2008","xac","hhsld","Tertiary","H1",38.876971260
"Baseline","2008","xa","Primary","","S1",99.951887426
"Baseline","2008","xd","Primary","","S1",56.144028975
"Baseline","2008","xmt","Primary","","S1",21.907696726
"Baseline","2008","xet","Primary","","S1",2.982487984
"Baseline","2008","xm","Primary","row","S3",13.605136378
"Baseline","2008","xe","Primary","row","S3",4.168613973
"Baseline","2008","xa","Manufact","","S1",177.577543816
"Baseline","2008","xd","Manufact","","S1",89.575848329
"Baseline","2008","xmt","Manufact","","S1",44.048260358
"Baseline","2008","xet","Manufact","","S1",12.872929961
"Baseline","2008","xm","Manufact","row","S3",26.725681247
"Baseline","2008","xe","Manufact","row","S3",19.344894954
"Baseline","2008","xa","Tertiary","","S1",178.753211557
"Baseline","2008","xd","Tertiary","","S1",116.461569108
"Baseline","2008","xmt","Tertiary","","S1",3.744982331
"Baseline","2008","xet","Tertiary","","S1",7.793741285
"Baseline","2008","xm","Tertiary","row","S3",2.488366876
"Baseline","2008","xe","Tertiary","row","S3",11.729549889
"Baseline","2008","gdpmp","","","M1",108.871135071
"Baseline","2008","rgdpmp","","","M1",125.011403129
"Baseline","2008","pgdpmp","","","M2",0.870889634
"Baseline","2008","tcons","","","M1",94.238811236
"Baseline","2008","tinv","","","M1",23.669434777
"Baseline","2008","texp","","","M1",35.243058817
"Baseline","2008","timp","","","M1",42.819184501
"Baseline","2008","pcons","","","M1",96.608478334
"Baseline","2008","pinv","","","M1",84.558113952
"Baseline","2008","pexp","","","M1",90.952922049
"Baseline","2008","pimp","","","M1",100.000000000
"Baseline","2008","gdpfc","","","M1",104.216193959
"Baseline","2008","rgdpfc","","","M1",112.232396255
"Baseline","2008","pgdpfc","","","M2",0.928574970
"Baseline","2008","pk","","","M2",1.573421726
"Baseline","2008","pland","","","M2",6.264606318
"Baseline","2008","ggdp","","","M2",0.030000000
"Baseline","2008","gl","","","M2",0.656395256
"Baseline","2008","ky","Captl","","M1",41.671400401
"Baseline","2008","ty","LandR","","M1",7.393947573
"Baseline","2008","tary","","","M1",4.654941113
"Baseline","2008","rtary","","","M1",5.113685575
"Baseline","2008","tmadj","","","M1",1.000000000
"Baseline","2008","gy","","","M1",14.863638635
"Baseline","2008","gexp","","","M1",11.678084743
"Baseline","2008","savg","","","M1",3.185553892
"Baseline","2008","rsg","","","M1",3.499490239
"Baseline","2008","tks","Captl","","M1",26.484571620
"Baseline","2008","ptks","Captl","","M2",1.573421726
"Baseline","2008","savf","","","M1",11.630000000
"Baseline","2008","plev","","","M2",0.910290835
"Baseline","2008","er","","","M2",1.000000000
"Baseline","2008","taxadjh","","","M2",1.000000000
"Baseline","2008","ly","UnSkil","","M3",43.211406469
"Baseline","2008","ly","Skill","","M3",11.934825732
"Baseline","2008","yh","hhsld","","H1",104.224735090
"Baseline","2008","yd","hhsld","","H1",94.016037567
"Baseline","2008","gtrh","hhsld","","H1",0.000000000
"Baseline","2008","cpi","hhsld","","H2",0.966084783
"Baseline","2008","kappah","hhsld","","H2",0.097948894
"Baseline","2009","xp","Primary","","S1",58.307914912
"Baseline","2009","xp","Manufact","","S1",101.100855371
"Baseline","2009","xp","Tertiary","","S1",125.501305519
"Baseline","2009","pp","Primary","","S2",1.209256508
"Baseline","2009","pp","Manufact","","S2",0.875942783
"Baseline","2009","pp","Tertiary","","S2",0.810843909
"Baseline","2009","x","Primary","","S1",58.307914912
"Baseline","2009","x","Manufact","","S1",101.100855371
"Baseline","2009","x","Tertiary","","S1",125.501305519
"Baseline","2009","xac","hhsld","Primary","H1",36.201588085
"Baseline","2009","xac","hhsld","Manufact","H1",21.566819302
"Baseline","2009","xac","hhsld","Tertiary","H1",39.853897433
"Baseline","2009","xa","Primary","","S1",103.766051844
"Baseline","2009","xd","Primary","","S1",59.207454310
"Baseline","2009","xmt","Primary","","S1",21.254818548
"Baseline","2009","xet","Primary","","S1",3.329103071
"Baseline","2009","xm","Primary","row","S3",13.199685419
"Baseline","2009","xe","Primary","row","S3",4.653076779
"Baseline","2009","xa","Manufact","","S1",182.334469651
"Baseline","2009","xd","Manufact","","S1",91.975300797
"Baseline","2009","xmt","Manufact","","S1",45.228339304
"Baseline","2009","xet","Manufact","","S1",13.044155165
"Baseline","2009","xm","Manufact","row","S3",27.441678054
"Baseline","2009","xe","Manufact","row","S3",19.602204953
"Baseline","2009","xa","Tertiary","","S1",183.357285588
"Baseline","2009","xd","Tertiary","","S1",119.376855392
"Baseline","2009","xmt","Tertiary","","S1",3.942002504
"Baseline","2009","xet","Tertiary","","S1",7.683960233
"Baseline","2009","xm","Tertiary","row","S3",2.619277633
"Baseline","2009","xe","Tertiary","row","S3",11.564329838
"Baseline","2009","gdpmp","","","M1",111.674545553
"Baseline","2009","rgdpmp","","","M1",128.761745223
"Baseline","2009","pgdpmp","","","M2",0.867295992
"Baseline","2009","tcons","","","M1",97.622304820
"Baseline","2009","tinv","","","M1",23.460808654
"Baseline","2009","texp","","","M1",35.819611570
"Baseline","2009","timp","","","M1",43.260641105
"Baseline","2009","pcons","","","M1",95.313373828
"Baseline","2009","pinv","","","M1",84.970032872
"Baseline","2009","pexp","","","M1",90.209468058
"Baseline","2009","pimp","","","M1",100.000000000
"Baseline","2009","gdpfc","","","M1",107.011984719
"Baseline","2009","rgdpfc","","","M1",115.160640235
"Baseline","2009","pgdpfc","","","M2",0.929240967
"Baseline","2009","pk","","","M2",1.208745038
"Baseline","2009","pland","","","M2",7.122679033
"Baseline","2009","ggdp","","","M2",0.030000000
"Baseline","2009","gl","","","M2",-0.100438406
"Baseline","2009","ky","Captl","","M1",38.823446231
"Baseline","2009","ty","LandR","","M1",8.406707887
"Baseline","2009","tary","","","M1",4.662560834
